feature_name,category,total_count,event_count,non_event_count,event_rate,woe,is_rare_bucket,is_missing_bucket,encoded_feature_name
ServiceArea,AIRASH828,32,4,28,0.125,-1.4864686402407292,False,False,ServiceArea_woe
ServiceArea,AIRAUG706,44,1,43,0.022727272727272728,0.0350004992474138,False,False,ServiceArea_woe
ServiceArea,AIRCHA843,71,0,71,0.0,1.630549299520847,False,False,ServiceArea_woe
ServiceArea,AIRCOL803,82,3,79,0.036585365853658534,-0.2093012775741419,False,False,ServiceArea_woe
ServiceArea,AIRGRE864,49,0,49,0.0,1.2628245193955296,False,False,ServiceArea_woe
ServiceArea,AIRHIC828,30,1,29,0.03333333333333333,-0.35337017550145056,False,False,ServiceArea_woe
ServiceArea,AIRJAC910,32,1,31,0.03125,-0.2877728930156372,False,False,ServiceArea_woe
ServiceArea,AIRMYR843,30,2,28,0.06666666666666667,-0.8986819753386104,False,False,ServiceArea_woe
ServiceArea,AIRSAV912,35,1,34,0.02857142857142857,-0.19680111480991047,False,False,ServiceArea_woe
ServiceArea,AIRWIL910,45,0,45,0.0,1.1785641757777898,False,False,ServiceArea_woe
ServiceArea,APCANN443,30,1,29,0.03333333333333333,-0.35337017550145056,False,False,ServiceArea_woe
ServiceArea,APCBAL410,419,12,407,0.028639618138424822,0.15201695763360173,False,False,ServiceArea_woe
ServiceArea,APCFCH703,783,23,760,0.02937420178799489,0.1446803598101739,False,False,ServiceArea_woe
ServiceArea,APCFRD301,44,1,43,0.022727272727272728,0.0350004992474138,False,False,ServiceArea_woe
ServiceArea,APCSIL301,670,19,651,0.028358208955223882,0.1765676002561385,False,False,ServiceArea_woe
ServiceArea,APCSVP443,49,0,49,0.0,1.2628245193955296,False,False,ServiceArea_woe
ServiceArea,APCWAS202,342,10,332,0.029239766081871343,0.12296927219337107,False,False,ServiceArea_woe
ServiceArea,ATLANE678,524,21,503,0.04007633587786259,-0.17876455371406041,False,False,ServiceArea_woe
ServiceArea,ATLATL678,507,12,495,0.023668639053254437,0.347543378722727,False,False,ServiceArea_woe
ServiceArea,ATLCHA423,88,5,83,0.056818181818181816,-0.6121967911206757,False,False,ServiceArea_woe
ServiceArea,ATLCOL706,50,2,48,0.04,-0.3670222646697777,False,False,ServiceArea_woe
ServiceArea,ATLKNO423,113,4,109,0.035398230088495575,-0.14044817825877876,False,False,ServiceArea_woe
ServiceArea,ATLMAC912,69,4,65,0.057971014492753624,-0.654322584874128,False,False,ServiceArea_woe
ServiceArea,ATLMEM901,165,5,160,0.030303030303030304,0.041250519592585105,False,False,ServiceArea_woe
ServiceArea,ATLNOR678,87,3,84,0.034482758620689655,-0.14830676487130007,False,False,ServiceArea_woe
ServiceArea,ATLROS678,73,3,70,0.0410958904109589,-0.32944558941620516,False,False,ServiceArea_woe
ServiceArea,BIRBIR205,111,5,106,0.04504504504504504,-0.36889843782800574,False,False,ServiceArea_woe
ServiceArea,BOSBOS508,124,3,121,0.024193548387096774,0.2148559635461751,False,False,ServiceArea_woe
ServiceArea,BOSBOS617,474,12,462,0.02531645569620253,0.2786225819051641,False,False,ServiceArea_woe
ServiceArea,BOSBOS781,207,6,201,0.028985507246376812,0.10169187374608614,False,False,ServiceArea_woe
ServiceArea,BOSBOS978,193,4,189,0.02072538860103627,0.40801629700714687,False,False,ServiceArea_woe
ServiceArea,BOSFRA508,57,2,55,0.03508771929824561,-0.2322030418608266,False,False,ServiceArea_woe
ServiceArea,BOSMAN603,197,8,189,0.04060913705583756,-0.2279724697128499,False,False,ServiceArea_woe
ServiceArea,BOSNSH603,34,1,33,0.029411764705882353,-0.22621500001620384,False,False,ServiceArea_woe
ServiceArea,BOSPRO401,145,4,141,0.027586206896551724,0.11592698956795816,False,False,ServiceArea_woe
ServiceArea,BOSPTL207,50,1,49,0.02,0.16421223072742006,False,False,ServiceArea_woe
ServiceArea,BOSWOR508,51,0,51,0.0,1.3024336574905755,False,False,ServiceArea_woe
ServiceArea,CHIBLO309,32,2,30,0.0625,-0.8308593789998493,False,False,ServiceArea_woe
ServiceArea,CHICHA217,31,2,29,0.06451612903225806,-0.8641957992674412,False,False,ServiceArea_woe
ServiceArea,CHICHI312,117,4,113,0.03418803418803419,-0.10456989059387684,False,False,ServiceArea_woe
ServiceArea,CHICHI773,441,13,428,0.02947845804988662,0.1253057218543905,False,False,ServiceArea_woe
ServiceArea,CHIDAV319,60,1,59,0.016666666666666666,0.34821587370435947,False,False,ServiceArea_woe
ServiceArea,CHIGRY219,68,2,66,0.029411764705882353,-0.05138411495140688,False,False,ServiceArea_woe
ServiceArea,CHIJOL815,40,1,39,0.025,-0.06145976694014837,False,False,ServiceArea_woe
ServiceArea,CHILAG630,293,9,284,0.030716723549488054,0.06714612422083005,False,False,ServiceArea_woe
ServiceArea,CHILAG708,223,3,220,0.013452914798206279,0.8108393956524724,False,False,ServiceArea_woe
ServiceArea,CHINBK847,472,18,454,0.038135593220338986,-0.13086814920580572,False,False,ServiceArea_woe
ServiceArea,CHIPEO309,64,2,62,0.03125,-0.11341950587085939,False,False,ServiceArea_woe
ServiceArea,CHIRCK815,90,4,86,0.044444444444444446,-0.37622831357750064,False,False,ServiceArea_woe
ServiceArea,DALDAL214,1498,52,1446,0.03471295060080107,-0.016206375920448404,False,False,ServiceArea_woe
ServiceArea,DALDTN940,48,1,47,0.020833333333333332,0.12296927219337107,False,False,ServiceArea_woe
ServiceArea,DALFTW817,782,32,750,0.04092071611253197,-0.19279576900123546,False,False,ServiceArea_woe
